Date,Paracetamol
2025-07-01,90.86445835626691
2025-07-02,89.40305194972474
2025-07-03,154.00943243022218
2025-07-04,118.09129066758203
2025-07-05,113.24575757863228
2025-07-06,129.78185595319275
2025-07-07,114.70695376890113
2025-07-08,91.10900264890977
2025-07-09,89.64759624236673
2025-07-10,154.25397672284197
2025-07-11,118.33583496016126
2025-07-12,113.49030187126237
2025-07-13,130.026400245656
2025-07-14,114.95149806144775
2025-07-15,91.353546941448
2025-07-16,89.8921405349909
2025-07-17,154.4985210153755
2025-07-18,118.58037925274049
2025-07-19,113.73484616376412
2025-07-20,130.2709445383671
2025-07-21,115.19604235407084
2025-07-22,91.59809123403855
2025-07-23,90.13668482743404
2025-07-24,154.74306530799527
2025-07-25,118.82492354531972
2025-07-26,113.97939045642107
2025-07-27,130.5154888309071
2025-07-28,115.4405866467723
2025-07-29,91.84263552662908
2025-07-30,90.38122912002268
